,Blinkroot,Daybloom,Deathweed,Fireblossom,Moonglow,Shiverthorn,Waterleaf
Herb_Bag_465,21,5,9,12,26,10,10
Herb_Bag_466,12,13,29,20,14,38,10
Herb_Bag_467,0,10,27,23,24,18,9
Herb_Bag_468,25,15,31,16,38,18,3
Herb_Bag_469,14,21,24,13,28,29,9
Herb_Bag_470,14,17,25,6,24,14,12
Herb_Bag_471,37,16,27,9,24,22,1
Herb_Bag_472,21,14,8,19,25,28,8
Herb_Bag_473,20,27,20,23,30,33,10
Herb_Bag_474,22,15,31,6,23,21,10
Herb_Bag_475,16,15,23,10,26,33,12
Herb_Bag_476,32,16,14,16,21,31,9
Herb_Bag_477,4,11,0,10,19,0,14
Herb_Bag_478,24,18,24,3,25,40,12
Herb_Bag_479,9,13,7,14,26,41,11
Herb_Bag_480,9,21,37,14,21,27,6
Herb_Bag_481,15,11,20,9,21,16,9
Herb_Bag_482,12,9,19,14,32,22,10
Herb_Bag_483,10,13,42,19,19,13,5
Herb_Bag_484,22,14,13,0,30,27,18
Herb_Bag_485,32,19,15,12,15,16,11
Herb_Bag_486,29,17,4,14,19,24,17
Herb_Bag_487,26,26,8,24,39,25,11
Herb_Bag_488,18,14,11,11,29,20,11
Herb_Bag_489,4,7,27,10,29,25,9
Herb_Bag_490,25,25,33,12,37,21,13
Herb_Bag_491,34,22,38,21,27,22,3
Herb_Bag_492,2,21,34,20,38,25,11
Herb_Bag_493,19,6,8,12,21,13,7
Herb_Bag_494,28,15,22,4,18,25,11
Herb_Bag_495,23,12,0,15,35,9,11
Herb_Bag_496,23,12,5,19,27,24,8
Herb_Bag_497,15,13,30,21,19,37,11
Herb_Bag_498,11,25,36,7,36,20,11
Herb_Bag_499,15,18,38,8,14,28,1
Herb_Bag_500,16,16,48,24,30,24,14
Herb_Bag_501,11,19,13,15,34,7,9
Herb_Bag_502,14,14,21,17,37,14,12
Herb_Bag_503,12,19,47,29,30,34,7
Herb_Bag_504,7,19,14,17,25,0,8
Herb_Bag_505,29,11,16,0,30,34,14
Herb_Bag_506,0,17,18,10,22,26,3
Herb_Bag_507,14,14,8,10,28,13,8
Herb_Bag_508,22,20,52,12,28,12,8
Herb_Bag_509,6,13,25,16,26,27,6
Herb_Bag_510,9,24,46,8,38,39,14
Herb_Bag_511,3,17,46,9,19,26,8
Herb_Bag_512,8,18,16,7,33,0,11
